,Time	,User	,Tweet	
0,2023-03-19 05:42:29+00:00,AloSenator,"RT @VictorIsrael_: @BashirAhmaad @PoliceNG @OfficialDSSNG @BashirAhmaad if you don’t arrest her, God will punish you. You heard Ijeoma and…"
1,2023-03-19 05:39:55+00:00,SteadeeB,RT @realDrBrendan: Oh come on - that's a bit radical. No woman has a penis? I'll have to fact check to see if that's true. This must be com…
2,2023-03-19 05:38:17+00:00,StefWilliams25,@MustangMan_TX Can women die from pregnancy? Yes. Would you seriously not consider medical procedures used to preve… https://t.co/INePDDx3wM
3,2023-03-19 05:38:13+00:00,emmagold__,"RT @VictorIsrael_: @BashirAhmaad @PoliceNG @OfficialDSSNG @BashirAhmaad if you don’t arrest her, God will punish you. You heard Ijeoma and…"
4,2023-03-19 05:36:08+00:00,ThislsRyanRoast,If you cut a penis off will it grow back? I want to try but idk if I'll regret it
5,2023-03-19 05:35:14+00:00,siruscasper,RT @ayosogunro: Why is it genitals that informs how you choose a leader? Not character. Not ability. Not even popularity. Just whether the…
